NAME,BOARD,TYPE,NAME_AB,ADDRESS_AB,CITY,PROVINCE,GRADES,POSTSECOND,DATA_SOURCE,PROVINCIAL_CODE_NUM,ECS,ELEM,JUNIOR_H,SENIOR_H,PROCESS_DT,POSTAL_COD,STRUCTURE_ID,longitude,latitude,location
Asasa Academy,Asasa Learning,Private School,Asasa Academy,599 Northmount Drive N.W.,Calgary,AB,Elementary,N,Provincial Data,1623,N,Y,N,N,2019/03/03,T2K3J6,1374276,-114.088022122172,51.0871732920148,"(51.0871732920148, -114.088022122172)"
Evergreen,Calgary School District No. 19,Public School,Evergreen School,367 Everstone Drive SW,Calgary,AB,GRK-3,N,CBE Data,1500,Y,Y,N,N,2019/03/03,T2Y0L3,1382258,-114.106519836863,50.9169239358226,"(50.9169239358226, -114.106519836863)"
Sacred Heart,Calgary Roman Catholic Separate School District No. 1,Separate School,Sacred Heart Elementary School,1312 15 St SW,Calgary,AB,Elementary,N,CSSD Data,8705,N,Y,N,N,2019/03/03,T3C0T6,1382544,-114.0966365484,51.0409204820138,"(51.0409204820138, -114.0966365484)"
Master's Academy,Palliser Regional Division No. 26,Public School,Master's Academy,4414 Crowchild Trail S.W.,Calgary,AB,Elementary,N,Provincial Data,30,N,Y,N,N,2019/03/03,T2T5J4,1382281,-114.11654760101,51.0153129626849,"(51.0153129626849, -114.11654760101)"
SAIT Polytechnic,,Post Secondary,,,Calgary,AB,,Y,Post Secondary Data,,N,N,N,N,2019/03/03,,1382335,-114.089272415998,51.0645150986753,"(51.0645150986753, -114.089272415998)"
Corpus Christi,Calgary Roman Catholic Separate School District No. 1,Separate School,Corpus Christi School,5607 Thornton Rd NW,Calgary,AB,Elementary,N,CSSD Data,8501,N,Y,N,N,2019/03/03,T2K3C1,1384094,-114.068031828864,51.1015969371731,"(51.1015969371731, -114.068031828864)"
Chinook Park,Calgary School District No. 19,Public School,Chinook Park School,1312 75 Avenue SW,Calgary,AB,GRK-6,N,CBE Data,9306,Y,Y,N,N,2019/03/03,T2V0S6,1382904,-114.089370333434,50.9864477689043,"(50.9864477689043, -114.089370333434)"
North Haven,Calgary School District No. 19,Public School,North Haven School,4922 North Haven Drive NW,Calgary,AB,GRPRE-K-6,N,CBE Data,9225,Y,Y,N,N,2019/03/03,T2K2K2,1383138,-114.086612787435,51.0975090770413,"(51.0975090770413, -114.086612787435)"
Renfrew Educational Services-Janice McTighe Centre,Renfrew Educational Services Society,Private School,Renfrew Educational Services-Janice McTighe Centre,2050 - 21 Street N.E.,Calgary,AB,Elementary,N,Provincial Data,249,N,Y,N,N,2019/03/03,T2E6S5,1381134,-114.008291667844,51.0696209641237,"(51.0696209641237, -114.008291667844)"
Le Roi Daniels,Calgary School District No. 19,Public School,Le Roi Daniels School,47 Fyffe Road SE,Calgary,AB,GRK-3,N,CBE Data,9320,Y,Y,N,N,2019/03/03,T2H1B9,1382901,-114.057955556407,50.9838583615036,"(50.9838583615036, -114.057955556407)"
